profile,Provincies_Naam,value,n_sample,gender
1,Drenthe,0.2215685182752165,204636,female
1,Drenthe,0.2145004419548203,199527,male
1,Drenthe,0.2180791536773213,404163,all
2,Drenthe,0.052749161077859,199527,male
2,Drenthe,0.0540483385177543,204636,female
2,Drenthe,0.0534069612094656,404163,all
3,Drenthe,0.1877139459143126,199527,male
3,Drenthe,0.1702717908393683,204636,female
3,Drenthe,0.1788826257639857,404163,all
4,Drenthe,0.5183172287640607,204636,female
4,Drenthe,0.5135367938898576,199527,male
4,Drenthe,0.5159572259207929,404163,all
5,Drenthe,0.0357941236035999,204636,female
5,Drenthe,0.031499657163149,199527,male
5,Drenthe,0.0336740334284382,404163,all
1,Flevoland,0.2634668980233417,167740,female
1,Flevoland,0.2426875893179707,165075,male
1,Flevoland,0.2531604383248948,332815,all
2,Flevoland,0.0703890375487996,167740,female
2,Flevoland,0.0689693254522356,165075,male
2,Flevoland,0.0696848656384582,332815,all
3,Flevoland,0.1330656485421796,167740,female
3,Flevoland,0.1521197079272445,165075,male
3,Flevoland,0.1425163910056788,332815,all
4,Flevoland,0.4554608457328384,167740,female
4,Flevoland,0.4640242461044941,165075,male
4,Flevoland,0.4597082604117178,332815,all
5,Flevoland,0.0776175701528404,167740,female
5,Flevoland,0.0721991311980549,165075,male
5,Flevoland,0.0749300446192524,332815,all
1,Friesland,0.2490223607156121,262858,male
1,Friesland,0.265933786706594,263506,female
1,Friesland,0.2574884834314116,526364,all
2,Friesland,0.0451492140155489,262858,male
2,Friesland,0.0458194730244725,263506,female
2,Friesland,0.0454847560936649,526364,all
3,Friesland,0.1603476450310063,263506,female
3,Friesland,0.1721663433464542,262858,male
3,Friesland,0.1662497192644303,526364,all
4,Friesland,0.4844494687415646,263506,female
4,Friesland,0.4925239950792611,262858,male
4,Friesland,0.4884817616872699,526364,all
5,Friesland,0.0411380868431236,262858,male
5,Friesland,0.0434496264963634,263506,female
5,Friesland,0.0422952795232204,526364,all
1,Gelderland,0.2563170965114885,861056,female
1,Gelderland,0.2418430954634061,834400,male
1,Gelderland,0.2491938762836991,1695456,all
2,Gelderland,0.0518169803705148,861056,female
2,Gelderland,0.0496651150631717,834400,male
2,Gelderland,0.050757963555895,1695456,all
3,Gelderland,0.195110684914862,834400,male
3,Gelderland,0.1773495070673963,861056,female
3,Gelderland,0.1860904751585323,1695456,all
4,Gelderland,0.4753413376941889,861056,female
4,Gelderland,0.4774932589800537,834400,male
4,Gelderland,0.4764003820580299,1695456,all
5,Gelderland,0.0391750783564074,861056,female
5,Gelderland,0.0358878455785027,834400,male
5,Gelderland,0.0375573029438437,1695456,all
1,Groningen,0.2526022889868639,239663,male
1,Groningen,0.2697935950447242,242355,female
1,Groningen,0.2612459474802263,482018,all
2,Groningen,0.0627602044457867,242355,female
2,Groningen,0.0611926329633912,239663,male
2,Groningen,0.0619807960332686,482018,all
3,Groningen,0.2109136813327389,242355,female
3,Groningen,0.2232527830411899,239663,male
3,Groningen,0.2170487761481877,482018,all
4,Groningen,0.4065069200799874,242355,female
4,Groningen,0.4150790076239065,239663,male
4,Groningen,0.410769026924626,482018,all
5,Groningen,0.0478732873846483,239663,male
5,Groningen,0.0500255990967585,242355,female
5,Groningen,0.0489554534136933,482018,all
1,Limburg,0.231548459739314,458823,male
1,Limburg,0.2435409865343533,468933,female
1,Limburg,0.2376100659887814,927756,all
2,Limburg,0.0700865586420459,458823,male
2,Limburg,0.0715382424125685,468933,female
2,Limburg,0.0708203102163419,927756,all
3,Limburg,0.1617417137246248,468933,female
3,Limburg,0.183291987108114,458823,male
3,Limburg,0.1723994309311261,927756,all
4,Limburg,0.4947030513088736,468933,female
4,Limburg,0.4872448958971353,458823,male
4,Limburg,0.4910146103389614,927756,all
5,Limburg,0.0284760060195806,468933,female
5,Limburg,0.027828098613392,458823,male
5,Limburg,0.0281555825247931,927756,all
1,Noord-Brabant,0.2540383469329186,1050191,female
1,Noord-Brabant,0.2390250928273264,1042971,male
1,Noord-Brabant,0.2465576126907784,2093162,all
2,Noord-Brabant,0.0541822774268789,1050191,female
2,Noord-Brabant,0.050631047656582,1042971,male
2,Noord-Brabant,0.0524127872179233,2093162,all
3,Noord-Brabant,0.1939126258085085,1042971,male
3,Noord-Brabant,0.1721886509432781,1050191,female
3,Noord-Brabant,0.1830131718304163,2093162,all
4,Noord-Brabant,0.4810155587628951,1042971,male
4,Noord-Brabant,0.4814625985690455,1050191,female
4,Noord-Brabant,0.4812398496591849,2093162,all
5,Noord-Brabant,0.0354156749446831,1042971,male
5,Noord-Brabant,0.0381281261278769,1050191,female
5,Noord-Brabant,0.0367765786017004,2093162,all
1,Noord-Holland,0.2433389106443549,1181912,female
1,Noord-Holland,0.2315138376551397,1134276,male
1,Noord-Holland,0.2375479746366046,2316188,all
2,Noord-Holland,0.0547664664110919,1181912,female
2,Noord-Holland,0.0520766474988537,1134276,male
2,Noord-Holland,0.0534492171046905,2316188,all
3,Noord-Holland,0.2198104675764764,1134276,male
3,Noord-Holland,0.2040010695765406,1181912,female
3,Noord-Holland,0.2117431961767003,2316188,all
4,Noord-Holland,0.4711119645630259,1134276,male
4,Noord-Holland,0.4715891198807933,1181912,female
4,Noord-Holland,0.4713554489416445,2316188,all
5,Noord-Holland,0.0263044334872153,1181912,female
5,Noord-Holland,0.0254870827065044,1134276,male
