profile,Provincies_Naam,value,n_sample
1,Drenthe,0.2180791536773213,404163
2,Drenthe,0.0534069612094656,404163
3,Drenthe,0.1788826257639857,404163
4,Drenthe,0.5159572259207929,404163
5,Drenthe,0.0336740334284382,404163
1,Flevoland,0.2531604383248948,332815
2,Flevoland,0.0696848656384582,332815
3,Flevoland,0.1425163910056788,332815
4,Flevoland,0.4597082604117178,332815
5,Flevoland,0.0749300446192524,332815
1,Friesland,0.2574884834314116,526364
2,Friesland,0.0454847560936649,526364
3,Friesland,0.1662497192644303,526364
4,Friesland,0.4884817616872699,526364
5,Friesland,0.0422952795232204,526364
1,Gelderland,0.2491938762836991,1695456
2,Gelderland,0.050757963555895,1695456
3,Gelderland,0.1860904751585323,1695456
4,Gelderland,0.4764003820580299,1695456
5,Gelderland,0.0375573029438437,1695456
1,Groningen,0.2612459474802263,482018
2,Groningen,0.0619807960332686,482018
3,Groningen,0.2170487761481877,482018
4,Groningen,0.410769026924626,482018
5,Groningen,0.0489554534136933,482018
1,Limburg,0.2376100659887814,927756
2,Limburg,0.0708203102163419,927756
3,Limburg,0.1723994309311261,927756
4,Limburg,0.4910146103389614,927756
5,Limburg,0.0281555825247931,927756
1,Noord-Brabant,0.2465576126907784,2093162
2,Noord-Brabant,0.0524127872179233,2093162
3,Noord-Brabant,0.1830131718304163,2093162
4,Noord-Brabant,0.4812398496591849,2093162
5,Noord-Brabant,0.0367765786017004,2093162
1,Noord-Holland,0.2375479746366046,2316188
2,Noord-Holland,0.0534492171046905,2316188
3,Noord-Holland,0.2117431961767003,2316188
4,Noord-Holland,0.4713554489416445,2316188
5,Noord-Holland,0.0259041631403605,2316188
1,Overijssel,0.2899223390216577,932749
2,Overijssel,0.0568938835761426,932749
3,Overijssel,0.1672765849039861,932749
4,Overijssel,0.4504670666349674,932749
5,Overijssel,0.0354401258632408,932749
1,Utrecht,0.238569499502192,1077884
2,Utrecht,0.0474027876768412,1077884
3,Utrecht,0.212923341363455,1077884
4,Utrecht,0.477306834818085,1077884
5,Utrecht,0.0237975366394233,1077884
1,Zeeland,0.2281303569717634,312657
2,Zeeland,0.0532762397598674,312657
3,Zeeland,0.1568986773943575,312657
4,Zeeland,0.5015544334944704,312657
5,Zeeland,0.0601402923795368,312657
1,Zuid-Holland,0.2626147063973309,2968520
2,Zuid-Holland,0.0552334000621228,2968520
3,Zuid-Holland,0.1678029333163493,2968520
4,Zuid-Holland,0.4688157089897079,2968520
5,Zuid-Holland,0.0455332512344968,2968520
