profile,wijk,value,n_sample
1,3475,0.1523886314685793,1236
2,3475,0.0335677536315145,1236
3,3475,0.2015567971959931,1236
4,3475,0.5387051516725193,1236
5,3475,0.0737816660313933,1236
1,8609,0.2597174682610412,1079
2,8609,0.0443620566828237,1079
3,8609,0.1999156286133885,1079
4,8609,0.4671455814518397,1079
5,8609,0.0288592649909066,1079
1,8615,0.2087505546991903,1235
2,8615,0.0729766070556122,1235
3,8615,0.1315534466194931,1235
4,8615,0.5215695010253442,1235
5,8615,0.0651498906003601,1235
1,10930,0.2109193636141003,3545
2,10930,0.0592793271956675,3545
3,10930,0.1837256910035021,3545
4,10930,0.5165974699312453,3545
5,10930,0.0294781482554846,3545
1,17306,0.3083237402980651,3092
2,17306,0.0776070050200312,3092
3,17306,0.1767690532560231,3092
4,17306,0.3801248754001549,3092
5,17306,0.0571753260257255,3092
1,17704,0.3506474857706227,967
2,17704,0.0487514679458288,967
3,17704,0.1307411683357543,967
4,17704,0.4306675914117361,967
5,17704,0.039192286536058,967
1,20358,0.3087497848711542,1173
2,20358,0.0251330563033957,1173
3,20358,0.1461609506594906,1173
4,20358,0.4650778099623715,1173
5,20358,0.0548783982035876,1173
1,24314,0.1834882323734202,827
2,24314,0.0581029731860573,827
3,24314,0.2622004489215411,827
4,24314,0.4833375239507683,827
5,24314,0.012870821568213,827
1,30713,0.2673597256488975,3590
2,30713,0.0446312247524397,3590
3,30713,0.1868034564156457,3590
4,30713,0.4769386366007439,3590
5,30713,0.024266956582273,3590
1,30801,0.2680940040963144,8019
2,30801,0.0461268485649908,8019
3,30801,0.2328469506758223,8019
4,30801,0.4404767984090101,8019
5,30801,0.0124553982538619,8019
1,34202,0.2924302980546583,2681
2,34202,0.0676563662078721,2681
3,34202,0.2253635170864589,2681
4,34202,0.3975205186778215,2681
5,34202,0.0170292999731889,2681
1,35202,0.20519047866246,2629
2,35202,0.0229065539939342,2629
3,35202,0.2101857211111717,2629
4,35202,0.5375491070149377,2629
5,35202,0.0241681392174964,2629
1,0363KK,0.1396268499356424,12220
2,0363KK,0.0344241729808499,12220
3,0363KK,0.3143792673089005,12220
4,0363KK,0.5039936097078977,12220
5,0363KK,0.0075761000667098,12220
1,39401,0.2993030993491692,61294
2,39401,0.0517677336904899,61294
3,39401,0.1412639142331202,61294
4,39401,0.4307165757053053,61294
5,39401,0.0769486770219152,61294
1,39605,0.3274724972873208,4088
2,39605,0.0522406657121133,4088
3,39605,0.1842953226170315,4088
4,39605,0.4190642020928414,4088
5,39605,0.0169273122906928,4088
1,55605,0.2862413592929875,5435
2,55605,0.0908804812385214,5435
3,55605,0.1557075993044727,5435
4,55605,0.4245913100069787,5435
5,55605,0.0425792501570396,5435
1,63202,0.23153160427941,7225
2,63202,0.1027261650169357,7225
3,63202,0.1695442575379934,7225
4,63202,0.4582358367583591,7225
5,63202,0.0379621364073016,7225
1,68730,0.1604613761088557,5550
2,68730,0.0668156824105827,5550
3,68730,0.1476898525658701,5550
4,68730,0.5208632963973442,5550
5,68730,0.1041697925173473,5550
1,70300,0.3208684215295231,5338
2,70300,0.0199350013612363,5338
3,70300,0.1290123386051024,5338
4,70300,0.4118238992849151,5338
5,70300,0.1183603392192229,5338
1,78403,0.300064145647938,353
2,78403,0.0948221414420237,353
3,78403,0.1801244689284523,353
4,78403,0.4104351187905347,353
5,78403,0.0145541251910512,353
1,98343,0.2608416706837997,851
2,98343,0.134320020232232,851
3,98343,0.1815952387863965,851
4,98343,0.3913861251383684,851
5,98343,0.0318569451592032,851
1,98412,0.196379670407365,2110
2,98412,0.1010133486437941,2110
3,98412,0.2099947139237744,2110
4,98412,0.4728518056437684,2110
5,98412,0.0197604613812979,2110
1,169500,0.1561743747990692,1675
2,169500,0.0525549608849618,1675
3,169500,0.1526557169301016,1675
4,169500,0.5778611976208001,1675
5,169500,0.0607537497650671,1675
1,190020,0.2595481922010196,4355
2,190020,0.0427722910648006,4355
3,190020,0.1905641634383235,4355
4,190020,0.4608153195065244,4355
5,190020,0.0463000337893317,4355
1,196601,0.2964602329544895,2620
2,196601,0.0333593734119299,2620
3,196601,0.2634402637530713,2620
4,196601,0.3285141864172148,2620
5,196601,0.0782259434632941,2620
